Hour,Minute,End Hour,End Minute,Display Date,Headline,Text,Picture Link,Video Link,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
0,51,0,52,M:s,2-21,Step 2:Load Disposable set:Prepare Disposable:Prepare Drain Option::patient inconvenience / can't drain,,,,,,,Title,Load Disposable set,
0,52,0,53,M:s,2-22,Step 2:Load Disposable set:Prepare Disposable:Prepare Drain Option::biohazard,,,,,,,Title,Load Disposable set,
0,53,0,54,M:s,2-23,Step 2:Load Disposable set:Prepare Disposable:Prepare Drain Option::biohazard,,,,,,,Title,Load Disposable set,
0,54,0,55,M:s,2-24,Step 2:Load Disposable set:Prepare Disposable:press go::patient inconvenience / can't drain,,,,,,,Title,Load Disposable set,
0,55,0,56,M:s,2-25,Step 2:Load Disposable set:Prepare Disposable:press go::patient inconvenience / can't drain,,,,,,,Title,Load Disposable set,
0,56,0,57,M:s,2-26,Step 2:Load Disposable set:Prepare Disposable:press go::patient inconvenience / can't drain,,,,,,,Title,Load Disposable set,
0,57,0,58,M:s,2-27,Step 2:Load Disposable set:Prepare Disposable:open the door::patient inconvenience / can't drain,,,,,,,Title,Load Disposable set,
0,58,0,59,M:s,2-28,Step 2:Load Disposable set:Prepare Disposable:open the door::patient inconvenience / can't drain,,,,,,,Title,Load Disposable set,
0,59,1,0,M:s,2-29,Step 2:Load Disposable set:Prepare Disposable:open the door::patient inconvenience / can't drain,,,,,,,Title,Load Disposable set,
1,0,1,1,M:s,2-30,Step 2:Load Disposable set:Prepare Disposable:Load set ? Cleaning?:remove paper band:infection,,,,,,,Title,Load Disposable set,
1,1,1,2,M:s,2-31,Step 2:Load Disposable set:Prepare Disposable:Load set ? Cleaning?:remove paper band:micro organisms introduced,,,,,,,Title,Load Disposable set,
1,2,1,3,M:s,2-32,Step 2:Load Disposable set:Prepare Disposable:Load set ? Cleaning?:remove paper band:breach in sterility,,,,,,,Title,Load Disposable set,
1,3,1,4,M:s,2-33,Step 2:Load Disposable set:Prepare Disposable:Load set ? Cleaning?:place organizer:breach in sterility,,,,,,,Title,Load Disposable set,
1,4,1,5,M:s,2-34,Step 2:Load Disposable set:Prepare Disposable:Load set ? Cleaning?:Insert cassette:breach in sterility,,,,,,,Title,Load Disposable set,
1,5,1,6,M:s,2-35,Step 2:Load Disposable set:Prepare Disposable:Load set ? Cleaning?:Insert cassett:patient inconvenience / can't drain,,,,,,,Title,Load Disposable set,
1,6,1,7,M:s,2-36,Step 2:Load Disposable set:Prepare Disposable:Load set ? Cleaning?:Insert cassett:inadequate therapy,,,,,,,Title,Load Disposable set,
1,7,1,8,M:s,2-37,Step 2:Load Disposable set:Prepare Disposable:Load set ? Cleaning?:Insert cassett:inadequate therapy,,,,,,,Title,Load Disposable set,
1,8,1,9,M:s,2-38,Step 2:Load Disposable set:Prepare Disposable:Load set ? Cleaning?:Insert cassett:breach in sterility,,,,,,,Title,Load Disposable set,
1,9,1,10,M:s,2-39,Step 2:Load Disposable set:Prepare Disposable:Load set ? Cleaning?:Insert cassett:,,,,,,,Title,Load Disposable set,
1,10,1,11,M:s,2-40,Step 2:Load Disposable set:Prepare Disposable:Load set ? Cleaning?:Insert cassett:patient inconvenience,,,,,,,Title,Load Disposable set,
1,11,1,12,M:s,2-41,Step 2:Load Disposable set:Prepare Disposable:close door::inadequate therapy,,,,,,,Title,Load Disposable set,
1,12,1,13,M:s,2-42,Step 2:Load Disposable set:Prepare Disposable:close door::breach in sterility,,,,,,,Title,Load Disposable set,
1,13,1,14,M:s,2-43,Step 2:Load Disposable set:Prepare Disposable:close door::patient inconvenience,,,,,,,Title,Load Disposable set,
1,14,1,15,M:s,2-44,Step 2:Load Disposable set:Prepare Disposable:attach drain option drain bag::patient inconvenience,,,,,,,Title,Load Disposable set,
1,15,1,16,M:s,2-45,Step 2:Load Disposable set:Prepare Disposable:attach drain option drain bag::breach in sterility,,,,,,,Title,Load Disposable set,
1,16,1,17,M:s,2-46,Step 2:Load Disposable set:Prepare Disposable:attach drain option drain bag::breach in sterility,,,,,,,Title,Load Disposable set,
1,17,1,18,M:s,2-47,Step 2:Load Disposable set:Prepare Disposable:press go::patient inconvenience,,,,,,,Title,Load Disposable set,
1,18,1,19,M:s,2-48,Step 2:Load Disposable set:Prepare Disposable:press go::breach in sterility/  biohazard / microorganisms introduced,,,,,,,Title,Load Disposable set,
1,19,1,20,M:s,2-49,Step 2:Load Disposable set:Prepare Disposable:press go::patient inconvenience,,,,,,,Title,Load Disposable set,
1,20,1,21,M:s,2-50,Step 2:Load Disposable set:Prepare Disposable:press go::patient inconvenience,,,,,,,Title,Load Disposable set,
1,21,1,22,M:s,2-51,Step 2:Load Disposable set:Prepare Disposable:press go::patient inconvenience,,,,,,,Title,Load Disposable set,
1,22,1,23,M:s,2-52,Step 2:Load Disposable set:Prepare Disposable:press go::patient inconvenience,,,,,,,Title,Load Disposable set,
1,23,1,24,M:s,2-53,Step 2:Load Disposable set:Prepare Disposable:press go::,,,,,,,Title,Load Disposable set,
1,24,1,25,M:s,2-54,Step 2:Load Disposable set:Prepare Disposable:heats up bag::??,,,,,,,Title,Load Disposable set,
1,25,1,26,M:s,2-55,Step 2:Load Disposable set:Prepare Disposable:heats up bag::??,,,,,,,Title,Load Disposable set,
1,26,1,27,M:s,2-56,Step 2:Load Disposable set:Prepare Disposable:heats up bag::??,,,,,,,Title,Load Disposable set,
1,27,1,28,M:s,2-57,Step 2:Load Disposable set:Prepare Disposable:heats up bag::??,,,,,,,Title,Load Disposable set,
1,28,1,29,M:s,2-58,Step 2:Load Disposable set:Prepare Disposable:heats up bag::??,,,,,,,Title,Load Disposable set,
1,29,1,30,M:s,2-59,Step 2:Load Disposable set:Prepare Disposable:heats up bag::breach in sterility/ patient inconvenience,,,,,,,Title,Load Disposable set,
1,30,1,31,M:s,2-60,Step 2:Load Disposable set:Prepare Disposable:heats up bag::patient inconvenience,,,,,,,Title,Load Disposable set,
1,31,1,32,M:s,2-61,Step 2:Load Disposable set:Prepare Disposable:heats up bag::cold infusion,,,,,,,Title,Load Disposable set,
1,32,1,33,M:s,3-1,Step 3:Connecting the Solution Bags:Prepare Disposable:Mask and Wash Hands:Wash / Dry Hands:Microorganisms introduced,,,,,,,Title,Connecting the Solution Bags,
1,33,1,34,M:s,3-2,Step 3:Connecting the Solution Bags:Prepare Disposable:Mask and Wash Hands:Use hand sanitizer:Particulate,,,,,,,Title,Connecting the Solution Bags,
1,34,1,35,M:s,3-3,Step 3:Connecting the Solution Bags:Prepare Disposable:Mask and Wash Hands:Places on face mask:,,,,,,,Title,Connecting the Solution Bags,
1,35,1,36,M:s,3-4,Step 3:Connecting the Solution Bags:Prepare Disposable:attach outlet port clamp to solution bag::,,,,,,,Title,Connecting the Solution Bags,
1,36,1,37,M:s,3-5,Step 3:Connecting the Solution Bags:Prepare Disposable:remove line from organizer:remove solution lines from organzer:micro-organisms introduced,,,,,,,Title,Connecting the Solution Bags,
1,37,1,38,M:s,3-6,Step 3:Connecting the Solution Bags:Prepare Disposable:remove line from organizer:remove solution lines from organzer:patient inconvenience,,,,,,,Title,Connecting the Solution Bags,
1,38,1,39,M:s,3-7,Step 3:Connecting the Solution Bags:Prepare Disposable:remove line from organizer:remove solution lines from organzer:patient inconvenience/ over prime,,,,,,,Title,Connecting the Solution Bags,
1,39,1,40,M:s,3-8,Step 3:Connecting the Solution Bags:Prepare Disposable:remove line from organizer:remove solution lines from organzer:micro-organisms introduced/ breach in sterility,,,,,,,Title,Connecting the Solution Bags,
1,40,1,41,M:s,3-9,Step 3:Connecting the Solution Bags:Prepare Disposable:Open ExtensionLine Bag:Place oposite end in toilet:,,,,,,,Title,Connecting the Solution Bags,
1,41,1,42,M:s,3-10,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:removes TP's:patient inconvenience,,,,,,,Title,Connecting the Solution Bags,
1,42,1,43,M:s,3-11,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:removes TP's:micro-organisms introduced/ breach in sterility,,,,,,,Title,Connecting the Solution Bags,
1,43,1,44,M:s,3-12,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:removes TP's:micro-organisms introduced/ breach in sterility,,,,,,,Title,Connecting the Solution Bags,
1,44,1,45,M:s,3-13,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:removes TP's:micro-organisms introduced/ breach in sterility,,,,,,,Title,Connecting the Solution Bags,
1,45,1,46,M:s,3-14,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:connects solution line to bag:,,,,,,,Title,Connecting the Solution Bags,
1,46,1,47,M:s,3-15,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:connects solution line to bag:micro-organisms introduced/ breach in sterility,,,,,,,Title,Connecting the Solution Bags,
1,47,1,48,M:s,3-16,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:connects solution line to bag:,,,,,,,Title,Connecting the Solution Bags,
1,48,1,49,M:s,3-17,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:connects solution line to bag:??,,,,,,,Title,Connecting the Solution Bags,
1,49,1,50,M:s,3-18,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:connects solution line to bag:micro-organisms introduced/ breach in sterility,,,,,,,Title,Connecting the Solution Bags,
1,50,1,51,M:s,3-19,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:connects solution line to bag:fire,,,,,,,Title,Connecting the Solution Bags,
1,51,1,52,M:s,3-20,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:connects solution line to bag:electricution,,,,,,,Title,Connecting the Solution Bags,
1,52,1,53,M:s,3-21,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:Removes Pull ring:micro-organisms introduced/ breach in sterility,,,,,,,Title,Connecting the Solution Bags,
1,53,1,54,M:s,3-22,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:Removes solution line from Organizer repeat 2nd bag:See earlier copy,,,,,,,Title,Connecting the Solution Bags,
1,54,1,55,M:s,3-23,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:break frangible:patient inconvenience,,,,,,,Title,Connecting the Solution Bags,
1,55,1,56,M:s,3-24,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:break frangible:patient inconvenience,,,,,,,Title,Connecting the Solution Bags,
1,56,1,57,M:s,3-25,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:break frangible:patient inconvenience,,,,,,,Title,Connecting the Solution Bags,
1,57,1,58,M:s,3-26,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:break frangible:patient inconvenience/ inadequate therapy/ micro-organisms introduced,,,,,,,Title,Connecting the Solution Bags,
1,58,1,59,M:s,3-27,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:break frangible:??,,,,,,,Title,Connecting the Solution Bags,
1,59,2,0,M:s,3-28,Step 3:Connecting the Solution Bags:Prepare Disposable:Connect Bag:remove outlet port clamp and check connections:,,,,,,,Title,Connecting the Solution Bags,
2,0,2,1,M:s,4-1,Step 4:Priming the disposable set:Prepare Disposable:Open clamps:Open line clamps:Lines aren't open,,,,,,,Title,Priming the disposable set,
2,1,2,2,M:s,4-2,Step 4:Priming the disposable set:Prepare Disposable::Open line clamps:,,,,,,,Title,Priming the disposable set,
2,2,2,3,M:s,4-3,Step 4:Priming the disposable set:Prepare Disposable::Open line clamps:,,,,,,,Title,Priming the disposable set,
2,3,2,4,M:s,4-4,Step 4:Priming the disposable set:Prepare Disposable::Open line clamps:opened clamps on unused lines,,,,,,,Title,Priming the disposable set,
2,4,2,5,M:s,4-5,Step 4:Priming the disposable set:Prepare Disposable::Open line clamps:,,,,,,,Title,Priming the disposable set,
2,5,2,6,M:s,4-6,Step 4:Priming the disposable set:Prepare Disposable::Press go:doesn’t prime,,,,,,,Title,Priming the disposable set,
2,6,2,7,M:s,4-7,Step 4:Priming the disposable set:Prepare Disposable::Prime:too much air,,,,,,,Title,Priming the disposable set,
2,7,2,8,M:s,4-8,Step 4:Priming the disposable set:Prepare Disposable::Prime:infused contaminated air,,,,,,,Title,Priming the disposable set,
2,8,2,9,M:s,4-9,Step 4:Priming the disposable set:Prepare Disposable::Prime:solution leaks,,,,,,,Title,Priming the disposable set,
2,9,2,10,M:s,4-10,Step 4:Priming the disposable set:Prepare Disposable::Prime:,,,,,,,Title,Priming the disposable set,
2,10,2,11,M:s,4-11,Step 4:Priming the disposable set:Prepare Disposable::Prime:,,,,,,,Title,Priming the disposable set,
2,11,2,12,M:s,4-12,Step 4:Priming the disposable set:Prepare Disposable::Prime:alarms,,,,,,,Title,Priming the disposable set,
2,12,2,13,M:s,4-13,Step 4:Priming the disposable set:Prepare Disposable::Prime:fails to preform therapy,,,,,,,Title,Priming the disposable set,
2,13,2,14,M:s,4-14,Step 4:Priming the disposable set:Prepare Disposable::Prime:breach of sterility,,,,,,,Title,Priming the disposable set,
2,14,2,15,M:s,4-15,Step 4:Priming the disposable set:Prepare Disposable::Verifiy patient line is primed:,,,,,,,Title,Priming the disposable set,
2,15,2,16,M:s,5-1,Step 5:Connecting to the disposable set:Prepare Disposable:get transfer set ready:place towel on lap:staining,,,,,,,Title,Connecting to the disposable set,
2,16,2,17,M:s,5-2,Step 5:Connecting to the disposable set:Prepare Disposable:Mask and wash hands dry:hand sanitize:microganisms introduced,,,,,,,Title,Connecting to the disposable set,
2,17,2,18,M:s,5-3,Step 5:Connecting to the disposable set:Prepare Disposable:remove patient line from organizer:remove patient line from organizer:microganisms introduced,,,,,,,Title,Connecting to the disposable set,
2,18,2,19,M:s,5-4,Step 5:Connecting to the disposable set:Prepare Disposable:remove patient line from organizer::microganisms introduced,,,,,,,Title,Connecting to the disposable set,
2,19,2,20,M:s,5-5,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:remove minicap from transfer set:patient inconvenience,,,,,,,Title,Connecting to the disposable set,
2,20,2,21,M:s,5-6,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:remove minicap from transfer set:stress exit site,,,,,,,Title,Connecting to the disposable set,
2,21,2,22,M:s,5-7,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:remove minicap from transfer set:microganisms introduced,,,,,,,Title,Connecting to the disposable set,
2,22,2,23,M:s,5-8,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:remove minicap from transfer set:patient inconvenience,,,,,,,Title,Connecting to the disposable set,
2,23,2,24,M:s,5-9,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:remove minicap from transfer set:microganisms introduced,,,,,,,Title,Connecting to the disposable set,
2,24,2,25,M:s,5-10,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:remove minicap from transfer set:microganisms introduced,,,,,,,Title,Connecting to the disposable set,
2,25,2,26,M:s,5-11,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:connects patient line:microganisms introduced,,,,,,,Title,Connecting to the disposable set,
2,26,2,27,M:s,5-12,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:connects patient line:microganisms introduced,,,,,,,Title,Connecting to the disposable set,
2,27,2,28,M:s,5-13,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:connects patient line:microganisms introduced,,,,,,,Title,Connecting to the disposable set,
2,28,2,29,M:s,5-14,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:connects patient line:patient inconvenience,,,,,,,Title,Connecting to the disposable set,
2,29,2,30,M:s,5-15,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:connects patient line:no flow,,,,,,,Title,Connecting to the disposable set,
2,30,2,31,M:s,5-16,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:connects patient line:stress exit site,,,,,,,Title,Connecting to the disposable set,
2,31,2,32,M:s,5-17,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:connects patient line:,,,,,,,Title,Connecting to the disposable set,
2,32,2,33,M:s,5-18,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:dry T-set:microganisms introduced,,,,,,,Title,Connecting to the disposable set,
2,33,2,34,M:s,5-19,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:Open twist clamp:patient inconvenience,,,,,,,Title,Connecting to the disposable set,
2,34,2,35,M:s,5-20,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:Open twist clamp:hard to open,,,,,,,Title,Connecting to the disposable set,
2,35,2,36,M:s,5-21,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:Open twist clamp:leaks,,,,,,,Title,Connecting to the disposable set,
2,36,2,37,M:s,5-22,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:Open twist clamp:microganisms introduced,,,,,,,Title,Connecting to the disposable set,
2,37,2,38,M:s,5-23,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:Open twist clamp:disconnects connection,,,,,,,Title,Connecting to the disposable set,
2,38,2,39,M:s,5-24,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:Open patient line clamp:no flow,,,,,,,Title,Connecting to the disposable set,
2,39,2,40,M:s,5-25,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:Open patient line clamp:no flow,,,,,,,Title,Connecting to the disposable set,
2,40,2,41,M:s,5-26,Step 5:Connecting to the disposable set:Prepare Disposable:connect Transfer set to patient line:Open patient line clamp:no flow,,,,,,,Title,Connecting to the disposable set,
2,41,2,42,M:s,5-27,Step 5:Connecting to the disposable set:Prepare Disposable:Open Transfer set::,,,,,,,Title,Connecting to the disposable set,
2,42,2,43,M:s,5-28,Step 5:Connecting to the disposable set:Prepare Disposable:Press Go::Inadequate therapy,,,,,,,Title,Connecting to the disposable set,
2,43,2,44,M:s,5-29,Step 5:Connecting to the disposable set:Prepare Disposable:::,,,,,,,Title,Connecting to the disposable set,
2,44,2,45,M:s,5-30,Step 5:Connecting to the disposable set:Prepare Disposable:::,,,,,,,Title,Connecting to the disposable set,
2,45,2,46,M:s,5-31,Step 5:Connecting to the disposable set:Prepare Disposable:Connect to drain line::,,,,,,,Title,Connecting to the disposable set,
2,46,2,47,M:s,6-1,Step 6:Initial drain::Open transfer set ::fails to drain,,,,,,,Title,Initial drain,
2,47,2,48,M:s,6-2,Step 6:Initial drain::Press Go::fails to drain,,,,,,,Title,Initial drain,
2,48,2,49,M:s,6-3,Step 6:Initial drain::::fails to drain,,,,,,,Title,Initial drain,
2,49,2,50,M:s,6-4,Step 6:Initial drain::::biohazards,,,,,,,Title,Initial drain,
2,50,2,51,M:s,6-5,Step 6:Initial drain::::biohazards,,,,,,,Title,Initial drain,
2,51,2,52,M:s,6-6,Step 6:Initial drain::::leaks,,,,,,,Title,Initial drain,
2,52,2,53,M:s,6-7,Step 6:Initial drain::::failure to perform therapy,,,,,,,Title,Initial drain,
2,53,2,54,M:s,6-8,Step 6:Initial drain::patient goes to bed::,,,,,,,Title,Initial drain,
2,54,2,55,M:s,7-1,Step 7:Temporary Disconnect:Patient Wakes up:::microorganisms introduced,,,,,,,Title,Temporary Disconnect,
